id,primeiro_nome,ultimo_nome,sexo,empresa,departamento,idioma
1,Isidro,Langlois,Genderqueer,Vipe,Research and Development,Gujarati
2,Rikki,McGiffie,Female,Zooxo,Marketing,Mongolian
3,Gabi,Yearron,Male,Aimbo,Legal,Montenegrin
4,Reynold,Wearden,Genderfluid,Realblab,Business Development,Kyrgyz
5,Vaughan,McGaffey,Male,Fanoodle,Marketing,Tswana
6,Gabriele,Dacre,Male,Realblab,Human Resources,Amharic
7,Bram,Yourell,Male,Quaxo,Business Development,Portuguese
8,Johanna,Rutland,Female,Leexo,Business Development,Tok Pisin
9,Veriee,Ciobutaro,Female,Mybuzz,Legal,Tok Pisin
10,Chrissy,Flacke,Female,Leexo,Support,Bengali
11,Zachariah,Aizikov,Male,Skyvu,Training,Marathi
12,Thekla,Mallock,Female,Jayo,Research and Development,Luxembourgish
13,Malvina,Parnaby,Bigender,Rhybox,Product Management,Romanian
14,Fredric,Bemlott,Male,Realcube,Sales,Aymara
15,Ruby,Gilburt,Female,Yamia,Legal,Filipino
16,Patricio,Heining,Male,Bubblebox,Human Resources,Maltese
17,Pembroke,Phonix,Genderfluid,Wordtune,Support,Telugu
18,Erda,Bogue,Female,Innotype,Legal,French
19,Farris,Rowley,Agender,Meedoo,Support,German
20,Oriana,Winnister,Polygender,Skiba,Business Development,Dhivehi
21,Carola,Tellenbroker,Bigender,Yadel,Business Development,Hindi
22,Sal,Lidstone,Female,Yodel,Research and Development,Sotho
23,Deny,Tumilty,Female,Eamia,Marketing,Dzongkha
24,Merle,Murcutt,Male,Jamia,Sales,Bengali
25,Upton,Oxford,Male,Riffpath,Legal,Hungarian
26,Nady,Dahlman,Female,Mynte,Engineering,Yiddish
27,Athene,Barfford,Non-binary,Chatterpoint,Product Management,Montenegrin
28,Davita,Diem,Female,Photojam,Business Development,Arabic
29,Angelica,Huddart,Female,Yodo,Engineering,Luxembourgish
30,Eli,Wolfart,Male,Demimbu,Research and Development,Latvian
31,Simonne,Mahood,Female,Eazzy,Services,Swedish
32,Guss,Torres,Male,Thoughtsphere,Marketing,Mongolian
33,Berny,Minot,Female,Meetz,Accounting,Irish Gaelic
34,Estell,Ascroft,Female,Einti,Legal,Icelandic
35,Prudi,Toffoloni,Female,Meemm,Marketing,Afrikaans
36,Tallulah,Blacklawe,Female,Tagfeed,Engineering,Afrikaans
37,Avery,Bendel,Male,Kimia,Support,Persian
38,Pebrook,Mangon,Male,Flashpoint,Engineering,Japanese
39,Idell,Criple,Female,Skipstorm,Services,Belarusian
40,Ralph,Tutchings,Male,Trudeo,Services,Dzongkha
41,Cordelia,Tottie,Female,Twitterbeat,Human Resources,West Frisian
42,Josefina,Lettley,Female,Feedfish,Legal,Greek
43,Cherianne,Drain,Female,Thoughtworks,Engineering,Nepali
44,Carmita,Ellgood,Female,Jabbersphere,Product Management,Kannada
45,Raine,Hambrick,Female,Youbridge,Support,Maltese
46,Else,Pervew,Female,Skyba,Business Development,Azeri
47,Belva,Corselles,Female,Vitz,Services,Finnish
48,Roxanna,Ryott,Female,Jaxspan,Support,Telugu
49,Miguelita,Checklin,Female,Blogtag,Training,Afrikaans
50,Judd,Eronie,Male,Ntags,Engineering,Malayalam
51,Paxon,Tinline,Male,Pixope,Services,Lao
52,Danette,Gingel,Female,Plajo,Services,Kurdish
53,Raphaela,Luetkemeyer,Female,Wordware,Legal,Assamese
54,Ganny,McCoughan,Male,Quire,Business Development,Danish
55,Maxy,Sander,Female,Centidel,Services,Tajik
56,Justinian,Chantrell,Male,Youbridge,Training,Luxembourgish
57,Ginger,Scotter,Genderqueer,Eimbee,Human Resources,Japanese
58,Tana,Hulk,Female,Tagcat,Engineering,Hiri Motu
59,Sophronia,Thomerson,Female,Linktype,Research and Development,Bulgarian
60,Madalena,Canfer,Female,Meedoo,Accounting,Gujarati
